Data_Set,Chain,Step,b,R_0,omega,rho,sigma
0,3,300950,0.00611864,2.27137,0.0313898,0.14025,0.0751046
0,4,300950,0.00982514,1.66897,0.0141659,0.074588,0.203607
0,0,301000,0.00585186,2.20584,0.00067831,0.00574297,0.0545067
0,1,301000,0.00678855,1.83826,0.0156948,0.174571,0.029348
0,2,301000,0.00725267,1.93962,0.013726,0.149942,0.00316058
0,3,301000,0.00630554,2.33658,0.0349108,0.110493,0.0161367
0,4,301000,0.00920339,1.65281,0.0135479,0.11032,0.182789
0,0,301050,0.00676464,1.80712,0.00346172,0.0366017,0.0289173
0,1,301050,0.00702022,2.31158,0.0526893,0.179579,0.0852413
0,2,301050,0.00725267,1.93962,0.013726,0.149942,0.00316058
0,3,301050,0.00866294,1.82822,0.0116831,0.0742088,0.0889571
0,4,301050,0.00903025,1.74056,0.00366288,0.0502093,0.25788
0,0,301100,0.00740891,2.03678,0.0211786,0.0690428,0.0288467
0,1,301100,0.00751996,1.59868,0.00138535,0.149043,0.0327623
0,2,301100,0.00725267,1.93962,0.013726,0.149942,0.00316058
0,3,301100,0.00866294,1.82822,0.0116831,0.0742088,0.0889571
0,4,301100,0.00903025,1.74056,0.00366288,0.0502093,0.25788
0,0,301150,0.0057091,1.96528,0.00611166,0.0616662,0.0196831
0,1,301150,0.00717623,2.00935,0.0124972,0.144844,0.00429698
0,2,301150,0.00725267,1.93962,0.013726,0.149942,0.00316058
0,3,301150,0.0105332,1.62723,0.0217758,0.11225,0.0856371
0,4,301150,0.00948558,2.07471,0.0201394,0.0549613,0.0608341
0,0,301200,0.00579591,2.44714,0.0203718,0.0615219,0.0128302
0,1,301200,0.00717623,2.00935,0.0124972,0.144844,0.00429698
0,2,301200,0.00518235,2.85579,0.0196158,0.0991972,0.0849031
0,3,301200,0.00988564,2.26055,0.039305,0.100554,0.0348406
0,4,301200,0.00948558,2.07471,0.0201394,0.0549613,0.0608341
0,0,301250,0.00611529,2.29188,0.00325851,0.0181041,0.00807054
0,1,301250,0.00830818,2.06945,0.0144651,0.104625,0.127782
0,2,301250,0.00937114,2.08825,0.0356068,0.085371,0.209423
0,3,301250,0.0101615,1.80347,0.0241087,0.140095,0.0166274
0,4,301250,0.00733276,1.72613,0.00758953,0.173984,0.0747871
0,0,301300,0.00611529,2.29188,0.00325851,0.0181041,0.00807054
0,1,301300,0.00742815,2.16194,0.0452375,0.186634,0.127263
0,2,301300,0.00487949,2.32605,0.0125191,0.0922832,0.0615586
0,3,301300,0.00542001,2.56624,0.0524979,0.173145,0.0250379
0,4,301300,0.00571959,2.53888,0.0332116,0.172494,0.0050882
0,0,301350,0.00611529,2.29188,0.00325851,0.0181041,0.00807054
0,1,301350,0.00703414,2.06793,0.0203279,0.192066,0.0197569
0,2,301350,0.00585883,2.35292,0.00506797,0.0468814,0.0943751
0,3,301350,0.00689784,2.20998,0.0276061,0.147395,0.0312474
0,4,301350,0.00574319,2.21819,0.0241659,0.1659,0.0823403
0,0,301400,0.00611529,2.29188,0.00325851,0.0181041,0.00807054
0,1,301400,0.00862777,1.93803,0.0415587,0.223136,0.135618
0,2,301400,0.00585883,2.35292,0.00506797,0.0468814,0.0943751
0,3,301400,0.00604528,2.04506,0.0231147,0.130079,0.0838539
0,4,301400,0.00655585,2.08589,0.0153922,0.163967,0.0195587
0,0,301450,0.00611529,2.29188,0.00325851,0.0181041,0.00807054
0,1,301450,0.00654084,1.7996,0.00650071,0.251578,0.0574624
0,2,301450,0.00535274,2.48111,0.00753963,0.0757504,0.0798015
0,3,301450,0.00561311,2.24281,0.019443,0.174362,0.0521997
0,4,301450,0.0062177,2.31582,0.034277,0.13314,0.112335
0,0,301500,0.00603,1.99457,0.00170449,0.0449111,0.112933
0,1,301500,0.00687065,1.87486,0.0179027,0.254718,0.00242771
0,2,301500,0.00535274,2.48111,0.00753963,0.0757504,0.0798015
0,3,301500,0.00561311,2.24281,0.019443,0.174362,0.0521997
0,4,301500,0.00767259,2.40302,0.0499202,0.114068,0.0285124
0,0,301550,0.00603,1.99457,0.00170449,0.0449111,0.112933
0,1,301550,0.00687065,1.87486,0.0179027,0.254718,0.00242771
0,2,301550,0.0065945,2.4041,0.0346683,0.0872853,0.0441735
0,3,301550,0.00680941,1.97962,0.0136437,0.183969,0.0717695
0,4,301550,0.00788423,2.03096,0.039952,0.158625,0.153895
0,0,301600,0.00603,1.99457,0.00170449,0.0449111,0.112933
0,1,301600,0.00873182,1.4967,0.00391168,0.205517,0.105914
0,2,301600,0.0065945,2.4041,0.0346683,0.0872853,0.0441735
0,3,301600,0.00760551,2.02,0.0320765,0.183525,0.134664
0,4,301600,0.00596834,2.16454,0.0115521,0.11476,0.207978
0,0,301650,0.00568993,2.38315,0.00573587,0.0244998,0.092315
0,1,301650,0.00821605,1.82977,0.0239519,0.200521,0.067477
0,2,301650,0.0074629,2.11708,0.018809,0.0892092,0.0605065
0,3,301650,0.00823622,1.60093,0.00805017,0.106306,0.100161
0,4,301650,0.00643474,2.19163,0.0254578,0.129167,0.227065
0,0,301700,0.00568993,2.38315,0.00573587,0.0244998,0.092315
0,1,301700,0.00950618,1.6945,0.00976749,0.125262,0.0836293
0,2,301700,0.00718562,2.15104,0.0220918,0.118645,0.00275839
0,3,301700,0.00876563,1.8045,0.0276864,0.128897,0.0460709
0,4,301700,0.00509835,2.21295,0.00722108,0.0800845,0.0125408
0,0,301750,0.00568993,2.38315,0.00573587,0.0244998,0.092315
0,1,301750,0.00950618,1.6945,0.00976749,0.125262,0.0836293
0,2,301750,0.00718562,2.15104,0.0220918,0.118645,0.00275839
0,3,301750,0.00812562,2.26484,0.0407641,0.132553,0.0601367
0,4,301750,0.00532823,2.09462,0.00794377,0.0611241,0.0326208
0,0,301800,0.00599188,2.38479,0.0242111,0.0888802,0.00543642
0,1,301800,0.00950618,1.6945,0.00976749,0.125262,0.0836293
0,2,301800,0.0073897,2.14219,0.0210453,0.0608413,0.00107843
0,3,301800,0.00862711,1.8694,0.0348359,0.132833,0.0603498
0,4,301800,0.00532823,2.09462,0.00794377,0.0611241,0.0326208
0,0,301850,0.00695349,2.06391,0.0100578,0.0728364,0.0538266
0,1,301850,0.0110703,1.69,0.0216382,0.110983,0.0137601
0,2,301850,0.00722145,1.90827,0.0116618,0.0388115,0.036553
0,3,301850,0.00862711,1.8694,0.0348359,0.132833,0.0603498
0,4,301850,0.00674783,2.16905,0.00735241,0.0558759,0.123122
0,0,301900,0.00892046,1.90047,0.0231198,0.095448,0.0505322
0,1,301900,0.0106586,1.60123,0.0110821,0.0896664,0.0137572
0,2,301900,0.00622669,2.67662,0.021082,0.0746725,0.0930707
0,3,301900,0.00937932,1.86909,0.0338322,0.128643,0.038411
0,4,301900,0.00551628,2.51888,0.0197041,0.0812163,0.0157652
0,0,301950,0.00892046,1.90047,0.0231198,0.095448,0.0505322
0,1,301950,0.0106586,1.60123,0.0110821,0.0896664,0.0137572
0,2,301950,0.0094363,1.77282,0.0182024,0.150817,0.0250512
0,3,301950,0.00959006,1.77198,0.0376504,0.162698,0.0775869
0,4,301950,0.00612317,2.43774,0.0249521,0.0552956,0.0174313
0,0,302000,0.00892046,1.90047,0.0231198,0.095448,0.0505322
0,1,302000,0.0106586,1.60123,0.0110821,0.0896664,0.0137572
0,2,302000,0.0094363,1.77282,0.0182024,0.150817,0.0250512
0,3,302000,0.00632602,1.87132,0.000128844,0.0922591,0.0247759
0,4,302000,0.00641293,2.26163,0.00412707,0.0274964,0.00672288
0,0,302050,0.00912531,1.82937,0.0127545,0.064109,0.0887566
0,1,302050,0.00994493,1.69347,0.00144387,0.0503787,0.0295624
0,2,302050,0.0094363,1.77282,0.0182024,0.150817,0.0250512
0,3,302050,0.00632602,1.87132,0.000128844,0.0922591,0.0247759
0,4,302050,0.00641293,2.26163,0.00412707,0.0274964,0.00672288
0,0,302100,0.00983415,1.45835,0.000303728,0.0337184,0.0329762
0,1,302100,0.00994493,1.69347,0.00144387,0.0503787,0.0295624
0,2,302100,0.0094363,1.77282,0.0182024,0.150817,0.0250512
0,3,302100,0.00658408,2.20831,0.0358799,0.127785,0.0135689
0,4,302100,0.00679858,2.31557,0.00975584,0.0431289,0.0785787
0,0,302150,0.00983415,1.45835,0.000303728,0.0337184,0.0329762
0,1,302150,0.0103775,1.72884,0.0119217,0.0488526,0.0250521
0,2,302150,0.0094363,1.77282,0.0182024,0.150817,0.0250512
0,3,302150,0.00592129,2.07867,0.0084818,0.179273,0.0854983
0,4,302150,0.00692284,1.83648,0.00717996,0.0519875,0.11622
0,0,302200,0.0107665,1.6101,0.0147468,0.0840738,0.0929471
0,1,302200,0.0103775,1.72884,0.0119217,0.0488526,0.0250521
0,2,302200,0.0100657,1.80765,0.0367306,0.146003,0.00149172
0,3,302200,0.00650033,2.34953,0.0455134,0.152723,0.0444727
0,4,302200,0.00742896,1.80682,0.00743972,0.115928,0.0360658
0,0,302250,0.0107665,1.6101,0.0147468,0.0840738,0.0929471
0,1,302250,0.0103775,1.72884,0.0119217,0.0488526,0.0250521
0,2,302250,0.008468,1.72279,0.0184935,0.122665,0.0236101
0,3,302250,0.00650033,2.34953,0.0455134,0.152723,0.0444727
0,4,302250,0.00742896,1.80682,0.00743972,0.115928,0.0360658
0,0,302300,0.00977969,1.62635,0.00372835,0.10542,0.0220872
0,1,302300,0.0113397,1.49667,0.00620778,0.0985793,0.139049
0,2,302300,0.00978677,1.79364,0.0256571,0.12773,0.161799
0,3,302300,0.00506851,1.92528,0.00637716,0.182505,0.0750191
0,4,302300,0.00742896,1.80682,0.00743972,0.115928,0.0360658
0,0,302350,0.00977969,1.62635,0.00372835,0.10542,0.0220872
0,1,302350,0.0110286,1.69679,0.0179659,0.13615,0.0966495
0,2,302350,0.00978677,1.79364,0.0256571,0.12773,0.161799
0,3,302350,0.00633239,2.56906,0.0335054,0.084183,0.129853
0,4,302350,0.00742896,1.80682,0.00743972,0.115928,0.0360658
0,0,302400,0.00977969,1.62635,0.00372835,0.10542,0.0220872
0,1,302400,0.0104845,1.77584,0.0270274,0.150005,0.0356039
0,2,302400,0.00972747,1.65511,0.00617663,0.122251,0.0419817
0,3,302400,0.00526873,2.25477,0.0188599,0.158134,0.0153532
0,4,302400,0.00742896,1.80682,0.00743972,0.115928,0.0360658
0,0,302450,0.0109713,1.74764,0.0101811,0.0478801,0.00505981
0,1,302450,0.00969214,1.57902,0.00212625,0.195173,0.0149503
0,2,302450,0.00832859,1.98332,0.0144844,0.0715062,0.0940433
0,3,302450,0.00526873,2.25477,0.0188599,0.158134,0.0153532
0,4,302450,0.00742896,1.80682,0.00743972,0.115928,0.0360658
0,0,302500,0.0109713,1.74764,0.0101811,0.0478801,0.00505981
0,1,302500,0.00969214,1.57902,0.00212625,0.195173,0.0149503
0,2,302500,0.00832859,1.98332,0.0144844,0.0715062,0.0940433
0,3,302500,0.00526873,2.25477,0.0188599,0.158134,0.0153532
0,4,302500,0.00766578,2.30258,0.0379957,0.105034,0.040079
0,0,302550,0.0109713,1.74764,0.0101811,0.0478801,0.00505981
0,1,302550,0.00703899,2.12747,0.0322074,0.225863,0.0482503
0,2,302550,0.00501157,2.26477,0.00309242,0.0643662,0.0394477
0,3,302550,0.00553552,2.70879,0.0457748,0.140606,0.0093085
0,4,302550,0.00777113,2.09655,0.0362485,0.0987238,0.0143923
0,0,302600,0.00893567,1.7418,0.0123273,0.0556072,0.0978714
0,1,302600,0.00657368,2.43349,0.0652195,0.196924,0.0743586
0,2,302600,0.00498427,2.14588,0.000732603,0.0346445,0.0530552
0,3,302600,0.00553552,2.70879,0.0457748,0.140606,0.0093085
0,4,302600,0.0071374,2.01804,0.0454978,0.144187,0.00475229
0,0,302650,0.00841758,2.09724,0.0235885,0.0686966,0.00268478
0,1,302650,0.00862189,1.93068,0.0415871,0.168646,0.0693834
0,2,302650,0.00498427,2.14588,0.000732603,0.0346445,0.0530552
0,3,302650,0.00553552,2.70879,0.0457748,0.140606,0.0093085
0,4,302650,0.00830019,1.8376,0.00482525,0.214879,0.07859
0,0,302700,0.00841758,2.09724,0.0235885,0.0686966,0.00268478
0,1,302700,0.00580904,2.28703,0.0353752,0.173031,0.0667812
0,2,302700,0.00498427,2.14588,0.000732603,0.0346445,0.0530552
0,3,302700,0.0065334,2.39749,0.0540952,0.126529,0.00423127
0,4,302700,0.0101635,1.71715,0.0151254,0.224229,0.0174778
0,0,302750,0.0071261,1.68226,0.00185206,0.0790417,0.032335
0,1,302750,0.0061851,2.15734,0.0350265,0.108918,0.0707845
0,2,302750,0.00722029,1.80871,0.00526504,0.063189,0.0747581
0,3,302750,0.0065334,2.39749,0.0540952,0.126529,0.00423127
0,4,302750,0.0103155,1.69463,0.0260599,0.1865,0.0347465
0,0,302800,0.00831529,1.8757,0.015884,0.0634585,0.0641303
0,1,302800,0.00785296,2.42185,0.0355285,0.0774328,0.126175
0,2,302800,0.00712266,2.08831,0.00999006,0.0511349,0.0526057
0,3,302800,0.00776398,2.07882,0.0252455,0.0888751,0.0289937
0,4,302800,0.0103155,1.69463,0.0260599,0.1865,0.0347465
0,0,302850,0.00831529,1.8757,0.015884,0.0634585,0.0641303
0,1,302850,0.00617595,2.20279,0.00995585,0.0933304,0.176786
0,2,302850,0.00712266,2.08831,0.00999006,0.0511349,0.0526057
0,3,302850,0.00636671,2.03206,0.0201471,0.0995814,0.0213194
0,4,302850,0.0103155,1.69463,0.0260599,0.1865,0.0347465
0,0,302900,0.00831529,1.8757,0.015884,0.0634585,0.0641303
0,1,302900,0.00718877,1.78592,0.0103791,0.0747174,0.123628
0,2,302900,0.00712266,2.08831,0.00999006,0.0511349,0.0526057
0,3,302900,0.00620153,2.10617,0.0173095,0.0860069,0.0473127
0,4,302900,0.0107554,1.64673,0.0452392,0.181901,0.232626
0,0,302950,0.00831529,1.8757,0.015884,0.0634585,0.0641303
0,1,302950,0.0100659,1.84041,0.01488,0.102582,0.0304234
0,2,302950,0.00712266,2.08831,0.00999006,0.0511349,0.0526057
0,3,302950,0.00650713,2.00829,0.00592653,0.0556765,0.0605272
0,4,302950,0.00897183,1.90477,0.0412587,0.233502,0.0512046
0,0,303000,0.0074657,1.95019,0.00201054,0.00831464,0.165512
0,1,303000,0.00775486,2.10437,0.0285157,0.116575,0.184532
0,2,303000,0.00712266,2.08831,0.00999006,0.0511349,0.0526057
0,3,303000,0.00650713,2.00829,0.00592653,0.0556765,0.0605272
0,4,303000,0.00897183,1.90477,0.0412587,0.233502,0.0512046
0,0,303050,0.0074657,1.95019,0.00201054,0.00831464,0.165512
0,1,303050,0.0093123,1.78742,0.0251798,0.107326,0.045145
0,2,303050,0.00685005,2.11459,0.0195667,0.0972042,0.101667
0,3,303050,0.00650713,2.00829,0.00592653,0.0556765,0.0605272
0,4,303050,0.00471722,2.06794,0.00376383,0.0743977,0.00448589
0,0,303100,0.00876429,2.07352,0.0126518,0.0547558,0.0952683
0,1,303100,0.00850964,1.72357,0.0158393,0.134748,0.10112
0,2,303100,0.00685005,2.11459,0.0195667,0.0972042,0.101667
0,3,303100,0.00650713,2.00829,0.00592653,0.0556765,0.0605272
0,4,303100,0.0043818,2.57202,0.0102642,0.0757518,0.00457909
0,0,303150,0.00731661,2.26153,0.0391667,0.104401,0.0983572
0,1,303150,0.00850964,1.72357,0.0158393,0.134748,0.10112
0,2,303150,0.00843825,1.76565,0.00298412,0.0613261,0.0302431
0,3,303150,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303150,0.0043818,2.57202,0.0102642,0.0757518,0.00457909
0,0,303200,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303200,0.0085305,1.9641,0.0208669,0.147173,0.127328
0,2,303200,0.00843825,1.76565,0.00298412,0.0613261,0.0302431
0,3,303200,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303200,0.0043818,2.57202,0.0102642,0.0757518,0.00457909
0,0,303250,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303250,0.0085305,1.9641,0.0208669,0.147173,0.127328
0,2,303250,0.00843825,1.76565,0.00298412,0.0613261,0.0302431
0,3,303250,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303250,0.0043818,2.57202,0.0102642,0.0757518,0.00457909
0,0,303300,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303300,0.00854044,1.84398,0.0164147,0.214701,0.0700464
0,2,303300,0.00755457,2.04341,0.0147089,0.0711848,0.0768563
0,3,303300,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303300,0.0043818,2.57202,0.0102642,0.0757518,0.00457909
0,0,303350,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303350,0.010328,1.71285,0.0059898,0.250809,0.128173
0,2,303350,0.00755457,2.04341,0.0147089,0.0711848,0.0768563
0,3,303350,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303350,0.0043818,2.57202,0.0102642,0.0757518,0.00457909
0,0,303400,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303400,0.00677699,2.19137,0.0371313,0.267189,0.085317
0,2,303400,0.00755457,2.04341,0.0147089,0.0711848,0.0768563
0,3,303400,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303400,0.00595712,2.38828,0.0168852,0.0778513,0.00663789
0,0,303450,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303450,0.00525067,2.27864,0.0406819,0.237935,0.151287
0,2,303450,0.00594449,2.08356,0.00655743,0.060369,0.0645489
0,3,303450,0.00905015,1.60585,0.000929985,0.0262212,0.066804
0,4,303450,0.00595712,2.38828,0.0168852,0.0778513,0.00663789
0,0,303500,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303500,0.00622333,1.90435,0.0245348,0.188776,0.218122
0,2,303500,0.00594449,2.08356,0.00655743,0.060369,0.0645489
0,3,303500,0.00827291,1.85737,0.00686149,0.0646855,0.0700982
0,4,303500,0.00595712,2.38828,0.0168852,0.0778513,0.00663789
0,0,303550,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303550,0.00605846,2.33352,0.0496391,0.184579,0.318197
0,2,303550,0.00594449,2.08356,0.00655743,0.060369,0.0645489
0,3,303550,0.0079733,1.96107,0.0219901,0.0927391,0.0499103
0,4,303550,0.00618681,2.45234,0.0167999,0.0602184,0.0682492
0,0,303600,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303600,0.00549745,2.62827,0.039507,0.136548,0.158015
0,2,303600,0.00594449,2.08356,0.00655743,0.060369,0.0645489
0,3,303600,0.00706664,2.03667,0.00705482,0.10551,0.0542012
0,4,303600,0.00514236,2.29578,0.00684842,0.0670686,0.0086175
0,0,303650,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303650,0.00586607,2.33695,0.0207312,0.139476,0.238365
0,2,303650,0.00594449,2.08356,0.00655743,0.060369,0.0645489
0,3,303650,0.00672725,2.22874,0.0149496,0.134009,0.00567729
0,4,303650,0.00514236,2.29578,0.00684842,0.0670686,0.0086175
0,0,303700,0.00612262,1.97303,0.00583294,0.0733539,0.0374901
0,1,303700,0.00417505,2.65372,0.0291128,0.149401,0.0186402
0,2,303700,0.00594449,2.08356,0.00655743,0.060369,0.0645489
0,3,303700,0.00632147,2.06461,0.0101543,0.182246,0.0153796
0,4,303700,0.00514236,2.29578,0.00684842,0.0670686,0.0086175
0,0,303750,0.00620548,2.1671,0.00619809,0.0579181,0.0495379
0,1,303750,0.00541148,2.29249,0.00859571,0.138612,0.0238941
0,2,303750,0.00768066,1.61527,0.00060331,0.0345847,0.0545485
0,3,303750,0.00548754,2.33288,0.0380435,0.181698,0.0497886
0,4,303750,0.00669347,1.91999,0.00630657,0.100775,0.0665944
0,0,303800,0.00620548,2.1671,0.00619809,0.0579181,0.0495379
0,1,303800,0.00518965,2.52998,0.0262906,0.184747,0.000469899
0,2,303800,0.00761154,2.00632,0.00256959,0.0147063,0.0747272
0,3,303800,0.00456151,2.14569,0.00204433,0.138749,0.0471183
0,4,303800,0.00799686,2.10113,0.0202558,0.0845619,0.141101
0,0,303850,0.00620548,2.1671,0.00619809,0.0579181,0.0495379
0,1,303850,0.00637498,1.96686,0.0298457,0.222229,0.119636
0,2,303850,0.00761154,2.00632,0.00256959,0.0147063,0.0747272
0,3,303850,0.0073414,1.9636,0.0215043,0.120784,0.052748
0,4,303850,0.00708161,1.94391,0.032701,0.08729,0.0263628
0,0,303900,0.00620548,2.1671,0.00619809,0.0579181,0.0495379
0,1,303900,0.0059908,2.28171,0.0460963,0.234468,0.0362553
0,2,303900,0.00761154,2.00632,0.00256959,0.0147063,0.0747272
0,3,303900,0.00849702,2.11406,0.011645,0.0895859,0.0334802
0,4,303900,0.00544779,2.51013,0.0381526,0.106064,0.0134601
0,0,303950,0.00620548,2.1671,0.00619809,0.0579181,0.0495379
0,1,303950,0.00779505,2.1366,0.0600135,0.218372,0.0244041
0,2,303950,0.00761154,2.00632,0.00256959,0.0147063,0.0747272
0,3,303950,0.00859929,2.01887,0.0245004,0.147737,0.0526965
0,4,303950,0.00545766,2.45773,0.0133883,0.0473692,0.0357068
0,0,304000,0.00620548,2.1671,0.00619809,0.0579181,0.0495379
